M-Cubed 2,University of Michigan,University,US,1U,12/06/13,Atlas V,"467 x 883 km, 120.5 degree inclination",Space Technology
SMDC-ONE 3.1 (Charlie),Space & Missile Defense Command,Military,US,3U,12/06/13,Atlas V,"467 x 883 km, 120.5 degree inclination",Space Technology
SMDC-ONE 3.2 (David),Space & Missile Defense Command,Military,US,3U,12/06/13,Atlas V,"467 x 883 km, 120.5 degree inclination",Space Technology
SNAP,STP/ Space & Missile Defense Command,Military,US,3U,12/06/13,Atlas V,"467 x 883 km, 120.5 degree inclination",Space Technology
TacSat-6,Space & Missile Defense Command,Military,US,3U,12/06/13,Atlas V,"467 x 883 km, 120.5 degree inclination",Space Technology
Flock-1 Dove-25,Planet Labs,Company,US,3U,01/09/14,Antares,ISS,Space Activity
Flock-1 Dove-26,Planet Labs,Company,US,3U,01/09/14,Antares,ISS,Space Activity
Flock-1 Dove-27,Planet Labs,Company,US,3U,01/09/14,Antares,ISS,Space Activity
Flock-1 Dove-28,Planet Labs,Company,US,3U,01/09/14,Antares,ISS,Space Activity
Flock-1 Dove-3,Planet Labs,Company,US,3U,01/09/14,Antares,ISS,Space Activity
Flock-1 Dove-4,Planet Labs,Company,US,3U,01/09/14,Antares,ISS,Space Activity
Flock-1 Dove-5,Planet Labs,Company,US,3U,01/09/14,Antares,ISS,Space Activity
Flock-1 Dove-6,Planet Labs,Company,US,3U,01/09/14,Antares,ISS,Space Activity
Flock-1 Dove-7,Planet Labs,Company,US,3U,01/09/14,Antares,ISS,Space Activity
Flock-1 Dove-8,Planet Labs,Company,US,3U,01/09/14,Antares,ISS,Space Activity
Flock-1 Dove-9,Planet Labs,Company,US,3U,01/09/14,Antares,ISS,Space Activity
LitSat-1,Kaunas University of Technology,Institute,Lithuania,1U,01/09/14,Antares,ISS,Space Technology
LituanicaSAT-1,Kaunas University of Technology,University,Lithuania,1U,01/09/14,Antares,ISS,Space Technology
SkyCube,"Southern Stars Group, LLC",Company,US,1U,01/09/14,Antares,ISS,Space Activity
UAPSAT-1,Alas Peruanas University,University,Peru,1U,01/09/14,Antares,ISS,Space Technology
ArduSat 2,Spire (Nanosatisfi),Company,US,2U,01/09/14,Antares,ISS,Space Activity
Flock-1 Dove-1,Planet Labs,Company,US,3U,01/09/14,Antares,ISS,Space Activity
Flock-1 Dove-10,Planet Labs,Company,US,3U,01/09/14,Antares,ISS,Space Activity
Flock-1 Dove-11,Planet Labs,Company,US,3U,01/09/14,Antares,ISS,Space Activity
Flock-1 Dove-12,Planet Labs,Company,US,3U,01/09/14,Antares,ISS,Space Activity
Flock-1 Dove-13,Planet Labs,Company,US,3U,01/09/14,Antares,ISS,Space Activity
Flock-1 Dove-14,Planet Labs,Company,US,3U,01/09/14,Antares,ISS,Space Activity
Flock-1 Dove-15,Planet Labs,Company,US,3U,01/09/14,Antares,ISS,Space Activity
Flock-1 Dove-16,Planet Labs,Company,US,3U,01/09/14,Antares,ISS,Space Activity
Flock-1 Dove-17,Planet Labs,Company,US,3U,01/09/14,Antares,ISS,Space Activity
Flock-1 Dove-18,Planet Labs,Company,US,3U,01/09/14,Antares,ISS,Space Activity
Flock-1 Dove-19,Planet Labs,Company,US,3U,01/09/14,Antares,ISS,Space Activity
Flock-1 Dove-2,Planet Labs,Company,US,3U,01/09/14,Antares,ISS,Space Activity
Flock-1 Dove-20,Planet Labs,Company,US,3U,01/09/14,Antares,ISS,Space Activity
Flock-1 Dove-21,Planet Labs,Company,US,3U,01/09/14,Antares,ISS,Space Activity
Flock-1 Dove-22,Planet Labs,Company,US,3U,01/09/14,Antares,ISS,Space Activity
Flock-1 Dove-23,Planet Labs,Company,US,3U,01/09/14,Antares,ISS,Space Activity
Flock-1 Dove-24,Planet Labs,Company,US,3U,01/09/14,Antares,ISS,Space Activity
Chasqui-I,Peru National University of Engineering,University,Peru,1U,02/05/14,Sojuz-U,ISS,Space Technology
ARTSAT1: Invader (INteractiVe satellite for Art and Design Experimental Research),Tama Art University,University,Japan,1U,02/27/14,H-2A,"408 km, non-SSO, 65 degree inclination",Space Activity
"ITF-1 (YUI, Imagine The Future-1, IFT)",University of Tsukuba,University,Japan,1U,02/27/14,H-2A,"408 km, non-SSO, 65 degree inclination",Space Technology
KSAT2 (Hayato),Kagoshima University,University,Japan,1U,02/27/14,H-2A,"408 km, non-SSO, 65 degree inclination",Space Technology
OPUSAT (CosMoz),Osaka Prefecture University,University,Japan,1U,02/27/14,H-2A,"408 km, non-SSO, 65 degree inclination",Space Technology
STARS-II,Kagawa University,University,Japan,9kg,02/27/14,H-2A,"408 km, non-SSO, 65 degree inclination",Space Technology
ALL-STAR/THEIA (Agile Low-cost Laboratory for Space Technology Acceleration and Research),University of Colorado at Boulder,University,US,3U,04/18/14,Falcon 9,"325 km, 51.6 degree inclination",Space Technology
KickSat,Cornell University,University,US,3U,04/18/14,Falcon 9,"325 km, 51.6 degree inclination",Space Activity
