,Mission_Name,Organization,Organization_Type,Nation,Sat_Type,Launch_Year,Rocket,Orbit,Mission_Type,region,Year
388,"GEARRS 2 (GEARRSAT 2, Globalstar Experiment And Risk Reduction Satellite)",Near Space Launch,Company,US,3U,05-20-15,Atlas V,ISS,Space Technology,North America,2015
389,"OptiCube 1 (O/C, Optical CubeSat)",California Polytechnic State University,University,US,3U,05-20-15,Atlas V,"600 km, 98 degree inclination",Space Technology,North America,2015
390,"OptiCube 2 (O/C, Optical CubeSat)",California Polytechnic State University,University,US,3U,05-20-15,Atlas V,"600 km, 98 degree inclination",Space Technology,North America,2015
391,"OptiCube 3 (O/C, Optical CubeSat)",California Polytechnic State University,University,US,3U,05-20-15,Atlas V,"600 km, 98 degree inclination",Space Technology,North America,2015
392,"BRICSat-P (Ballistic Reinforced Communication Satellite, previously PSat B, ParkinsonSat B)",US Naval Academy,University,US,1.5U,05-20-15,Atlas V,"370 x 700 km, 57-58 degree inclination",Space Technology,North America,2015
393,LightSail-A,The Planetary Society,Non-profit,US,3U,05-20-15,Atlas V,"370 x 700 km, 57-58 degree inclination",Space Technology,North America,2015
394,"PSat A (PSat, ParkinsonSat A, UltraSat1?, NO-84)",US Naval Academy Satellite Lab,University,US,1.5U,05-20-15,Atlas V,"370 x 700 km, 57-58 degree inclination",Space Technology,North America,2015
395,USS Langley (Unix Space Server),US Naval Academy,University,US,3U,05-20-15,Atlas V,"370 x 700 km, 57-58 degree inclination",Space Technology,North America,2015
396,AeroCube-8A (IMPACT),The Aerospace Corporation,Non-profit,US,1.5U,05-20-15,Atlas V,"370 x 700 km, 57-58 degree inclination",Space Technology,North America,2015
397,AeroCube-8B (IMPACT),The Aerospace Corporation,Non-profit,US,1.5U,05-20-15,Atlas V,"370 x 700 km, 57-58 degree inclination",Space Technology,North America,2015
398,Flock-1f 1,Planet Labs,Company,US,3U,06-28-15,Falcon 9,ISS,Space Activity,North America,2015
399,Flock-1f 2,Planet Labs,Company,US,3U,06-28-15,Falcon 9,ISS,Space Activity,North America,2015
400,Flock-1f 3,Planet Labs,Company,US,3U,06-28-15,Falcon 9,ISS,Space Activity,North America,2015
401,Flock-1f 4,Planet Labs,Company,US,3U,06-28-15,Falcon 9,ISS,Space Activity,North America,2015
402,Flock-1f 5,Planet Labs,Company,US,3U,06-28-15,Falcon 9,ISS,Space Activity,North America,2015
403,Flock-1f 6,Planet Labs,Company,US,3U,06-28-15,Falcon 9,ISS,Space Activity,North America,2015
404,Flock-1f 7,Planet Labs,Company,US,3U,06-28-15,Falcon 9,ISS,Space Activity,North America,2015
405,Flock-1f 8,Planet Labs,Company,US,3U,06-28-15,Falcon 9,ISS,Space Activity,North America,2015
406,Deorbitsail,EU FP7 consortium,Agency,UK,3U,07-10-15,PSLV-XL,"650 km, 97.8 degree inclination",Space Technology,Europe,2015
407,Flock-2b 10,Planet Labs,Company,US,3U,08-19-15,H-2B,ISS,Space Activity,North America,2015
408,Flock-2b 11,Planet Labs,Company,US,3U,08-19-15,H-2B,ISS,Space Activity,North America,2015
409,Flock-2b 12,Planet Labs,Company,US,3U,08-19-15,H-2B,ISS,Space Activity,North America,2015
410,Flock-2b 13,Planet Labs,Company,US,3U,08-19-15,H-2B,ISS,Space Activity,North America,2015
411,Flock-2b 14,Planet Labs,Company,US,3U,08-19-15,H-2B,ISS,Space Activity,North America,2015
412,Flock-2b 1,Planet Labs,Company,US,3U,08-19-15,H-2B,ISS,Space Activity,North America,2015
413,Flock-2b 2,Planet Labs,Company,US,3U,08-19-15,H-2B,ISS,Space Activity,North America,2015
414,Flock-2b 3,Planet Labs,Company,US,3U,08-19-15,H-2B,ISS,Space Activity,North America,2015
415,"S-CUBE (S3, Shootingstar Sensing Satellite)",Chiba Institute of Technology,University,Japan,3U,08-19-15,H-2B,ISS,Space Science,Asia,2015
416,Flock-2b 4,Planet Labs,Company,US,3U,08-19-15,H-2B,ISS,Space Activity,North America,2015
417,Flock-2b 5,Planet Labs,Company,US,3U,08-19-15,H-2B,ISS,Space Activity,North America,2015
418,Flock-2b 6,Planet Labs,Company,US,3U,08-19-15,H-2B,ISS,Space Activity,North America,2015
419,Flock-2b 7,Planet Labs,Company,US,3U,08-19-15,H-2B,ISS,Space Activity,North America,2015
420,Flock-2b 8,Planet Labs,Company,US,3U,08-19-15,H-2B,ISS,Space Activity,North America,2015
421,Flock-2b 9,Planet Labs,Company,US,3U,08-19-15,H-2B,ISS,Space Activity,North America,2015
422,GOMX-3,GomSpace ApS,Company,Denmark,3U,08-19-15,H-IIB,ISS,Space Activity,Europe,2015
423,AAUSAT5,Aalborg University,University,Denmark,1U,08-19-15,H-2B,ISS,Space Technology,Europe,2015
424,SERPENS,SERPENS (Sistema Espacial para Realização de Pesquisa e Experimentos com Nanossatélites) programme university consortium,University,Brazil,3U,08-19-15,H-2B,ISS,Space Technology,South America,2015
425,XC 3 (Xingchen 3),National University of Defense Technology (NUDT),University,China,100 g,09-19-15,Long March 6 (CZ-6),"520 x 520 km, 97 degree inclination, SSO",Space Technology,Asia,2015
426,ZJ 1 (Zijing 1),Tsinghua University,University,China,0.234 kg,09-19-15,Long March 6 (CZ-6),"520 x 520 km, 97 degree inclination, SSO",Space Technology,Asia,2015
427,KJSY 1 (Kongjian Shiyan 1),Tsinghua University,University,China,0.173 kg,09-19-15,Long March 6 (CZ-6),"520 x 520 km, 97 degree inclination, SSO",Space Technology,Asia,2015
428,LilacSat-2,Harbin Institute of Technology,University,China,10 kg,09-19-15,Long March 6 (CZ-6),"520 x 520 km, 97 degree inclination, SSO",Space Technology,Asia,2015
429,"XW-2B (CAS 3B, Chinese Amateur Radio Satellite)",CAMSAT (AMSAT China),Non-profit,China,10 kg,09-19-15,Long March 6 (CZ-6),"520 x 520 km, 97 degree inclination, SSO",Space Technology,Asia,2015
430,"XW-2C (CAS 3C, Chinese Amateur Radio Satellite)",CAMSAT (AMSAT China),Non-profit,China,10 kg,09-19-15,Long March 6 (CZ-6),"520 x 520 km, 97 degree inclination, SSO",Space Technology,Asia,2015
431,"XW-2D (CAS 3D, Chinese Amateur Radio Satellite)",CAMSAT (AMSAT China),Non-profit,China,10 kg,09-19-15,Long March 6 (CZ-6),"520 x 520 km, 97 degree inclination, SSO",Space Technology,Asia,2015
432,"XW-2E (CAS 3E, Chinese Amateur Radio Satellite)",CAMSAT (AMSAT China),Non-profit,China,1.5 kg,09-19-15,Long March 6 (CZ-6),"520 x 520 km, 97 degree inclination, SSO",Space Technology,Asia,2015
433,"XW-2F (CAS 3F, Chinese Amateur Radio Satellite)",CAMSAT (AMSAT China),Non-profit,China,1.5 kg,09-19-15,Long March 6 (CZ-6),"520 x 520 km, 97 degree inclination, SSO",Space Technology,Asia,2015
434,"DCBB, CAS 3G (Chinese Amateur Radio Satellite)",Shenzhen Aerospace Dongfanghong HIT Satellite Ltd,Company,China,2U,09-19-15,Long March 6 (CZ-6),"520 x 520 km, 97 degree inclination, SSO",Space Technology,Asia,2015
435,"NUDT-PhoneSat (CAS 3I, Kaituo 1B)",National University of Defense Technology,University,China,1U,09-19-15,Long March 6 (CZ-6),"520 x 520 km, 97 degree inclination, SSO",Space Technology,Asia,2015
436,XC 1 (Xingchen 1),National University of Defense Technology (NUDT),University,China,100 g,09-19-15,Long March 6 (CZ-6),"520 x 520 km, 97 degree inclination, SSO",Space Technology,Asia,2015
437,XC 2 (Xingchen 2),National University of Defense Technology (NUDT),University,China,100 g,09-19-15,Long March 6 (CZ-6),"520 x 520 km, 97 degree inclination, SSO",Space Technology,Asia,2015
438,XC 4 (Xingchen 4),National University of Defense Technology (NUDT),University,China,100 g,09-19-15,Long March 6 (CZ-6),"520 x 520 km, 97 degree inclination, SSO",Space Technology,Asia,2015
439,"TW-1A (STU-2, Shankeda 2, Tianwang-1A, Sat-A, SECM-1)",Shanghai Engineering Centre for Microsatellites (SECM),Institute,China,3U,09-25-15,Chang Zheng 11 (CZ-11),"470 x 485 km, 97.3 degree inclination, SSO",Space Technology,Asia,2015
440,"TW-1B (STU-2, NJUST 2, Tianwang-1B, Sat-B, SECM-1)",Shanghai Engineering Centre for Microsatellites,Institute,China,2U,09-25-15,Chang Zheng 11 (CZ-11),"470 x 485 km, 97.3 degree inclination, SSO",Space Technology,Asia,2015
441,"TW-1C (STU-2, NJFA , Tianwang-1C, Sat-C, SECM-1)",Shanghai Engineering Centre for Microsatellites,Institute,China,2U,09-25-15,Chang Zheng 11 (CZ-11),"470 x 485 km, 97.3 degree inclination, SSO",Space Technology,Asia,2015
442,Lemur2-Chris,Spire,Company,US,3U,09-28-15,PSLV-XL,"650 x 660 km, 6 degree inclination",Space Activity,North America,2015
443,Lemur2-Jeroen,Spire,Company,US,3U,09-28-15,PSLV-XL,"650 x 660 km, 6 degree inclination",Space Activity,North America,2015
444,Lemur2-Peter,Spire,Company,US,3U,09-28-15,PSLV-XL,"650 x 660 km, 6 degree inclination",Space Activity,North America,2015
445,Lemur2-Joel,Spire,Company,US,3U,09-28-15,PSLV-XL,"650 x 660 km, 6 degree inclination",Space Activity,North America,2015
446,ExactView 9,exactEarth Inc,Company,Canada,5.5 kg,09-28-15,PSLV-XL,"650 x 660 km, 6 degree inclination",Space Activity,North America,2015
447,"LMRSTSat (LMRSat , LMRST-Sat, Low Mass Radio Science Transponder - Satellite)",Stanford University,University,US,2U,10-08-15,Atlas V,"480 x 800 km, 64.8 degree inclination",Space Technology,North America,2015
448,ARC-1 (Alaska Research CubeSat),University of Alaska,University,US,1U,10-08-15,Atlas V,"480 x 800 km, 64.8 degree inclination",Space Technology,North America,2015
449,AeroCube-5C,The Aerospace Corporation,Non-profit,US,1.5U,10-08-15,Atlas V,"480 x 800 km, 64.8 degree inclination",Space Technology,North America,2015
450,SINOD-D 3,SRI International,Company,US,2U,10-08-15,Atlas V,"480 x 800 km, 64.8 degree inclination",Space Technology,North America,2015
451,"BisonSat (Nwist Q̓ʷiq̓ʷáy, SKC)",Salish Kootenai College,University,US,1U,10-08-15,Atlas V,"480 x 800 km, 64.8 degree inclination",Space Technology,North America,2015
452,Fox-1A,The Radio Amateur Satellite Corporation (AMSAT),Non-profit,US,1U,10-08-15,Atlas V,"480 x 800 km, 64.8 degree inclination",Space Technology,North America,2015
453,SINOD-D 1,SRI International,Company,US,2U,10-08-15,Atlas V,"480 x 800 km, 64.8 degree inclination",Space Technology,North America,2015
454,PropCube 3 (Merryweather. Propagation CubeSat),Naval Postgraduate School (NPS),University,US,1U,10-08-15,Atlas V,"480 x 800 km, 64.8 degree inclination",Space Science,North America,2015
455,SNaP-3 A ALICE ((Space and Missile Defense Command Nano-Satellite-3),United States Army Space and Missile Defense Command,Military,US,3U,10-08-15,Atlas V,"480 x 800 km, 64.8 degree inclination",Space Technology,North America,2015
456,"PropCube 1 (Flora, Propagation CubeSat)",Naval Postgraduate School (NPS),University,US,1U,10-08-15,Atlas V,"480 x 800 km, 64.8 degree inclination",Space Science,North America,2015
457,SNaP-3 B EDDIE ((Space and Missile Defense Command Nano-Satellite-3),United States Army Space and Missile Defense Command,Military,US,3U,10-08-15,Atlas V,"480 x 800 km, 64.8 degree inclination",Space Technology,North America,2015
458,SNAP-3 C JIMI (Space and Missile Defense Command Nano-Satellite-3),Naval Postgraduate School,University,US,3U,10-08-15,Atlas V,"480 x 800 km, 64.8 degree inclination",Space Technology,North America,2015
459,"Aerocube-7A (OCSD, Optical Communications and Sensor Demonstration, IOCPS-A, Integrated Optical Communications and Proximity Sensors)",The Aerospace Corporation,Non-profit,US,1.5U,10-08-15,Atlas V,"500 x 800 km, 63 degree inclination",Space Technology,North America,2015
460,Argus (SLU-02),Saint Louis University,University,US,2U,11-04-15,Super Strypi,Launch failure,Space Technology,North America,2015
461,EDSN 1 (Edison Demonstration of Smallsat Networks),NASA/ Ames Research Center,Agency,US,1.5U,11-04-15,Super Strypi,Launch failure,Space Technology,North America,2015
462,EDSN 2 (Edison Demonstration of Smallsat Networks),NASA/ Ames Research Center,Agency,US,1.5U,11-04-15,Super Strypi,Launch failure,Space Technology,North America,2015
463,EDSN 3 (Edison Demonstration of Smallsat Networks),NASA/ Ames Research Center,Agency,US,1.5U,11-04-15,Super Strypi,Launch failure,Space Technology,North America,2015
464,EDSN 4 (Edison Demonstration of Smallsat Networks),NASA/ Ames Research Center,Agency,US,1.5U,11-04-15,Super Strypi,Launch failure,Space Technology,North America,2015
465,EDSN 5 (Edison Demonstration of Smallsat Networks),NASA/ Ames Research Center,Agency,US,1.5U,11-04-15,Super Strypi,Launch failure,Space Technology,North America,2015
466,EDSN 6 (Edison Demonstration of Smallsat Networks),NASA/ Ames Research Center,Agency,US,1.5U,11-04-15,Super Strypi,Launch failure,Space Technology,North America,2015
467,EDSN 7 (Edison Demonstration of Smallsat Networks),NASA/ Ames Research Center,Agency,US,1.5U,11-04-15,Super Strypi,Launch failure,Space Technology,North America,2015
468,EDSN 8 (Edison Demonstration of Smallsat Networks),NASA/ Ames Research Center,Agency,US,1.5U,11-04-15,Super Strypi,Launch failure,Space Technology,North America,2015
469,PrintSat,Montana State University,University,US,1U,11-04-15,Super Strypi,Launch failure,Space Technology,North America,2015
470,SUPERNOVA-BETA,Pumpkin,Company,US,6U,11-04-15,Super Strypi,Launch failure,Space Technology,North America,2015
471,STACEM,Utah State University Research Foundation Space Dynamics Laboratory,Institute,US,3U,11-04-15,Super-Strypi,Launch failure,Space Technology,North America,2015
472,Nodes A,NASA Ames Research Center,Agency,US,1.5U,12-06-15,Atlas V,ISS,Space Technology,North America,2015
473,Nodes B,NASA Ames Research Center,Agency,US,1.5U,12-06-15,Atlas V,ISS,Space Technology,North America,2015
474,MinXSS (Miniature X-ray Solar Spectrometer CubeSat),University of Colorado at Boulder,University,US,3U,12-06-15,Atlas V,ISS,Space Science,North America,2015
475,Flock-2e 1,Planet Labs,Company,US,3U,12-06-15,Atlas V,ISS,Space Activity,North America,2015
476,Flock-2e 2,Planet Labs,Company,US,3U,12-06-15,Atlas V,ISS,Space Activity,North America,2015
477,Flock-2e 3,Planet Labs,Company,US,3U,12-06-15,Atlas V,ISS,Space Activity,North America,2015
478,Flock-2e 4,Planet Labs,Company,US,3U,12-06-15,Atlas V,ISS,Space Activity,North America,2015
479,Flock-2e 5,Planet Labs,Company,US,3U,12-06-15,Atlas V,ISS,Space Activity,North America,2015
480,Flock-2e 6,Planet Labs,Company,US,3U,12-06-15,Atlas V,ISS,Space Activity,North America,2015
481,Flock-2e 7,Planet Labs,Company,US,3U,12-06-15,Atlas V,ISS,Space Activity,North America,2015
482,Flock-2e 9,Planet Labs,Company,US,3U,12-06-15,Atlas V,ISS,Space Activity,North America,2015
483,Flock-2e 8,Planet Labs,Company,US,3U,12-06-15,Atlas V,ISS,Space Activity,North America,2015
484,Flock-2e 10,Planet Labs,Company,US,3U,12-06-15,Atlas V,ISS,Space Activity,North America,2015
485,Flock-2e 11,Planet Labs,Company,US,3U,12-06-15,Atlas V,ISS,Space Activity,North America,2015
486,Flock-2e 12,Planet Labs,Company,US,3U,12-06-15,Atlas V,ISS,Space Activity,North America,2015
487,"STMSat-1 (STM CubeSat, St. Thomas More Cathedral School)",St. Thomas More Cathedral School,School,US,1U,12-06-15,Atlas V,ISS,Space Activity,North America,2015
488,CADRE (CubeSat investigating Atmospheric Density Response to Extreme driving),University of Michigan,University,US,3U,12-06-15,Atlas V,ISS,Space Technology,North America,2015
489,BEVO 2 (LONESTAR),University of Texas at Austin,University,US,3U,12-06-15,Atlas V,ISS,Space Technology,North America,2015
490,VELOX-II,Nanyang Technological University,University,Singapore,6U,12-16-15,PSLV,"550 km, 15 degree inclination",Space Technology,Asia,2015
491,Athenoxat-1,Microspace Rapid Pte Ltd.,Company,Italy,3U,12-16-15,PSLV,"550 km, 15 degree inclination",Space Technology,Europe,2015
492,Galassia,National University of Singapore,University,Singapore,2U,12-16-15,PSLV,"550 km, 15 degree inclination",Space Technology,Asia,2015
493,HORYU-4,Kyushu Institute of Technology,University,Japan,10 kg,02-17-16,H-2A,Launched,Space Technology,Asia,2016
494,Flock-2e' 1,Planet Labs,Company,US,3U,03-23-16,Atlas V,ISS,Space Activity,North America,2016
495,Flock-2e' 2,Planet Labs,Company,US,3U,03-23-16,Atlas V,ISS,Space Activity,North America,2016
496,Flock-2e' 3,Planet Labs,Company,US,3U,03-23-16,Atlas V,ISS,Space Activity,North America,2016
497,Flock-2e' 4,Planet Labs,Company,US,3U,03-23-16,Atlas V,ISS,Space Activity,North America,2016
498,Flock-2e' 5,Planet Labs,Company,US,3U,03-23-16,Atlas V,ISS,Space Activity,North America,2016
499,Lemur-2 5,Spire,Company,US,3U,03-23-16,Atlas V,ISS,Space Activity,North America,2016
500,Flock-2e' 6,Planet Labs,Company,US,3U,03-23-16,Atlas V,ISS,Space Activity,North America,2016
501,Flock-2e' 7,Planet Labs,Company,US,3U,03-23-16,Atlas V,ISS,Space Activity,North America,2016
502,Flock-2e' 8,Planet Labs,Company,US,3U,03-23-16,Atlas V,ISS,Space Activity,North America,2016
503,Flock-2e' 9,Planet Labs,Company,US,3U,03-23-16,Atlas V,ISS,Space Activity,North America,2016
504,Flock-2e' 10,Planet Labs,Company,US,3U,03-23-16,Atlas V,ISS,Space Activity,North America,2016
505,Flock-2e' 11,Planet Labs,Company,US,3U,03-23-16,Atlas V,ISS,Space Activity,North America,2016
506,Flock-2e' 12,Planet Labs,Company,US,3U,03-23-16,Atlas V,ISS,Space Activity,North America,2016
507,Flock-2e' 13,Planet Labs,Company,US,3U,03-23-16,Atlas V,ISS,Space Activity,North America,2016
508,Flock-2e' 14,Planet Labs,Company,US,3U,03-23-16,Atlas V,ISS,Space Activity,North America,2016
509,Flock-2e' 15,Planet Labs,Company,US,3U,03-23-16,Atlas V,ISS,Space Activity,North America,2016
510,Lemur-2 6,Spire,Company,US,3U,03-23-16,Atlas V,ISS,Space Activity,North America,2016
511,Flock-2e' 16,Planet Labs,Company,US,3U,03-23-16,Atlas V,ISS,Space Activity,North America,2016
512,Flock-2e' 17,Planet Labs,Company,US,3U,03-23-16,Atlas V,ISS,Space Activity,North America,2016
513,Flock-2e' 18,Planet Labs,Company,US,3U,03-23-16,Atlas V,ISS,Space Activity,North America,2016
514,Flock-2e' 19,Planet Labs,Company,US,3U,03-23-16,Atlas V,ISS,Space Activity,North America,2016
515,Lemur-2 7,Spire,Company,US,3U,03-23-16,Atlas V,ISS,Space Activity,North America,2016
516,Flock-2e' 20,Planet Labs,Company,US,3U,03-23-16,Atlas V,ISS,Space Activity,North America,2016
517,Lemur-2 8,Spire,Company,US,3U,03-23-16,Atlas V,ISS,Space Activity,North America,2016
518,Lemur-2 9,Spire,Company,US,3U,03-23-16,Atlas V,ISS,Space Activity,North America,2016
519,ITASAT 1,Technological Institute of Aeronautics,University,Brazil,6U,03-31-16,-0,not launched,Space Technology,South America,2016
520,Nayif-1,Emirates Institution for Advanced Science and Technology,Institute,Dubai,1U,03-31-16,"Falcon 9, SHERPA",not launched,Space Technology,Middle East,2016
521,OUFTI-1,University of Liège,University,Belgium,1U,04-22-16,Sojuz,not launched,Space Technology,Europe,2016
522,AAUSAT4,Aalborg University,University,Denmark,1U,04-22-16,Sojuz,not launched,Space Technology,Europe,2016
523,e-st@r-II,Polytechnic University of Turin,University,Italy,1U,04-22-16,Sojuz,not launched,Space Technology,Europe,2016
524,SamSat-218,Samara State Aerospace University,University,Russia,2U,04-27-16,Sojuz-2.1a,not launched,Space Technology,Asia,2016
525,Max Valier,Max Valier Technical High School,School,Italy,10 kg,05-31-16,PSLV,not launched,-0,Europe,2016
526,Flock-2x 1,Planet Labs,Company,US,3U,05-31-16,PSLV,ISS,Space Activity,North America,2016
527,Flock-2x 2,Planet Labs,Company,US,3U,05-31-16,PSLV,not launched,Space Activity,North America,2016
528,Flock-2x 3,Planet Labs,Company,US,3U,05-31-16,PSLV,not launched,Space Activity,North America,2016
529,Flock-2x 4,Planet Labs,Company,US,3U,05-31-16,PSLV,not launched,Space Activity,North America,2016
530,Flock-2x 5,Planet Labs,Company,US,3U,05-31-16,PSLV,not launched,Space Activity,North America,2016
531,Flock-2x 6,Planet Labs,Company,US,3U,05-31-16,PSLV,not launched,Space Activity,North America,2016
532,Flock-2x 7,Planet Labs,Company,US,3U,05-31-16,PSLV,not launched,Space Activity,North America,2016
533,Flock-2x 8,Planet Labs,Company,US,3U,05-31-16,PSLV,not launched,Space Activity,North America,2016
534,Flock-2x 9,Planet Labs,Company,US,3U,05-31-16,PSLV,not launched,Space Activity,North America,2016
535,Flock-2x 10,Planet Labs,Company,US,3U,05-31-16,PSLV,not launched,Space Activity,North America,2016
536,Flock-2x 11,Planet Labs,Company,US,3U,05-31-16,PSLV,not launched,Space Activity,North America,2016
537,Flock-2x 12,Planet Labs,Company,US,3U,05-31-16,PSLV,not launched,Space Activity,North America,2016
538,Venta-1,"University of Applied Sciences Bremen, OHB Systems",University,Latvia,7.5 kg,05-31-16,PSLV,not launched,Space Technology,Europe,2016
539,Sathyabamasat (SNSAT),Sathyabama University,University,India,2U,05-31-16,PSLV,not launched,Space Technology,Asia,2016
540,BEESAT-4,Berlin Technical University,University,Germany,1U,05-31-16,PSLV,"505 km, 97 degree inclination",Space Technology,Europe,2016
541,Swayam COEP,College of Education Pune,University,India,1U,05-31-16,PSLV,not launched,Space Technology,Asia,2016
542,"Aerocube-7B (OCSD, Optical Communications and Sensor Demonstration, IOCPS-B, Integrated Optical Communications and Proximity Sensors)",The Aerospace Corporation,Non-profit,US,1.5U,06-30-16,Falcon 9 SHERPA,not launched,Space Technology,North America,2016
543,SIGMA,Kyung Hee University,University,South Korea,3U,06-30-16,Falcon 9 SHERPA,not launched,Space Technology,Asia,2016
544,STEP-1 (STEP Cube Lab),Chosun University,University,South Korea,1U,06-30-16,Falcon 9 SHERPA,not launched,Space Technology,Asia,2016
545,EcAMSat (E. Coli AntiMicrobialSat),NASA Ames Research Center,Agency,US,6U,06-30-16,Falcon 9 SHERPA,not launched,Space Activity,North America,2016
546,CANYVAL-X 2U Tom,Yonsei University,University,South Korea,2U,06-30-16,Falcon 9 SHERPA,not launched,Space Science,Asia,2016
547,CNUSail-1 (Papillon),Chungnam National University,University,South Korea,3U,06-30-16,Falcon 9 SHERPA,not launched,Space Technology,Asia,2016
548,Fox-1D,The Radio Amateur Satellite Corporation (AMSAT),Company,US,1U,06-30-16,Falcon 9 SHERPA,not launched,Space Technology,North America,2016
549,"Aerocube-7C (OCSD-C, Optical Communications and Sensor Demonstration, IOCPS-B, Integrated Optical Communications and Proximity Sensors)",The Aerospace Corporation,Non-profit,US,1.5U,06-30-16,Falcon 9 SHERPA,not launched,Space Technology,North America,2016
550,skCube,Slovak Organisation for Space Activities,Non-profit,Slovakia,1U,06-30-16,Falcon 9 SHERPA,not launched,Space Technology,Europe,2016
551,NanosatC-Br2,Southern Regional Space Research Center (CRS),Institute,Brazil,2U,06-30-16,Falcon 9 SHERPA,not launched,Space Technology,South America,2016
552,CANYVAL-X 1U Jerry,Yonsei University,University,South Korea,1U,06-30-16,Falcon 9 SHERPA,not launched,Space Science,Asia,2016
553,KAUSAT-5,Korea Aerospace University,University,South Korea,3U,06-30-16,Falcon 9 SHERPA,not launched,Space Activity,Asia,2016
554,Fox-1C,The Radio Amateur Satellite Corporation (AMSAT),Company,US,1U,06-30-16,Falcon 9 SHERPA,not launched,Space Technology,North America,2016
555,Arkyd 6 (A6),Planetary Resources,Company,US,6U,06-30-16,Falcon 9 SHERPA,not launched,Space Technology,North America,2016
556,Dido-1 (SpacePharma),SpacePharma,Company,Israel,3U,06-30-16,Falcon 9 SHERPA,not launched,Space Activity,Asia,2016
557,ISARA (Integrated Solar Array and Reflectarray Antenna for High Bandwidth CubeSat),"Jet Propulsion Laboratory, California Institute of Technology",Agency,US,3U,06-30-16,Falcon 9 SHERPA,not launched,Space Technology,North America,2016
558,QARMAN,VKI (von karman Institute),Institute,Belgium,3U,07-31-16,TBD,ISS,Space Science,Europe,2016
559,Columbia,University of Turabo,University,US,2U,07-31-16,TBD,ISS,Space Science,North America,2016
560,Qbito,Polytechnics University of Madrid,University,Spain,2U,07-31-16,TBD,ISS,Space Science,Europe,2016
561,ZJU CubeSat,Zhejiang University,University,China,2U,07-31-16,TBD,ISS,Space Science,Asia,2016
562,SamSat-QB50,Samara State Aerospace University,University,Russia,3U,07-31-16,TBD,ISS,Space Science,Asia,2016
563,Discovery,Stanford University,University,US,2U,07-31-16,TBD,ISS,Space Science,North America,2016
564,SAT-IP2,University of Picard,University,France,2U,07-31-16,TBD,ISS,Space Science,Europe,2016
565,SNUSat-1,Seoul National University,University,South Korea,2U,07-31-16,TBD,ISS,Space Science,Asia,2016
566,UCLSat,University College London,University,UK,2U,07-31-16,TBD,ISS,Space Science,Europe,2016
567,SpaceCube,Mines Paristech,University,France,2U,07-31-16,TBD,ISS,Space Science,Europe,2016
568,STU-1,ShanghaiTech University,University,China,2U,07-31-16,TBD,ISS,Space Science,Asia,2016
569,SUSat,University of Adelaide,University,Australia,2U,07-31-16,TBD,ISS,Space Science,Oceania,2016
570,ZA-AeroSat,Cape Peninsula University of Technology,University,South Africa,3U,07-31-16,TBD,ISS,Space Science,Africa,2016
571,RoBiSat-2,Romanian Space Agency Institute of Space Science,Agency,Romania,2U,07-31-16,TBD,ISS,Space Science,Europe,2016
572,UNSW-EC0,The University of New South Wales,University,Australia,2U,07-31-16,TBD,ISS,Space Science,Oceania,2016
573,UPSat (CubeSat by the University of Patras),University of Patras,University,Greece,2U,07-31-16,TBD,ISS,Space Science,Europe,2016
574,Ursa Maior (University of Rome la SApienza Micropropulsion for Attitude and In Orbit debris Removal testing),University of Rome,University,Italy,3U,07-31-16,TBD,ISS,Space Science,Europe,2016
575,RAVAN (Radiometer Assessment Using Vertical Aligned Nanotubes),Johns Hopkins Applied Physics Laboratory,University,US,3U,07-31-16,-0,not launched,Space Activity,North America,2016
576,VZLUSAT-1,Aerospace Research and Test Establishment,Institute,Czech,2U,07-31-16,TBD,ISS,Space Science,Europe,2016
577,RoBiSat-1,Romanian Space Agency Institute of Space Science,Agency,Romania,2U,07-31-16,TBD,ISS,Space Science,Europe,2016
578,Biarri-Point,US Air Force,Military,US,3U,07-31-16,TBD,not launched,Space Technology,North America,2016
579,X-Cubesat,Ecole Polytechnique,University,France,2U,07-31-16,TBD,ISS,Space Science,Europe,2016
580,YUsend-QB50,York University,University,Canada,2U,07-31-16,TBD,ISS,Space Science,North America,2016
581,PolyITAN-2-SHAU,National Technical University of Ukraine,University,Ukraine,2U,07-31-16,TBD,ISS,Space Science,Europe,2016
582,SAMSON A,Israel Institute Of Technology,University,Israel,6U,07-31-16,-0,not launched,Space Technology,Asia,2016
583,SAMSON B,Israel Institute Of Technology,University,Israel,6U,07-31-16,-0,not launched,Space Technology,Asia,2016
584,Biarri-Squad 1,US Air Force,Military,US,3U,07-31-16,-0,-0,Space Technology,North America,2016
585,SAMSON C,Israel Institute Of Technology,University,Israel,6U,07-31-16,-0,not launched,Space Technology,Asia,2016
586,Biarri-Squad 2,US Air Force,Military,US,3U,07-31-16,-0,-0,Space Technology,North America,2016
587,Biarri-Squad 3,US Air Force,Military,US,3U,07-31-16,-0,-0,Space Technology,North America,2016
588,Challenger,University of Colorado Boulder,University,US,2U,07-31-16,TBD,ISS,Space Science,North America,2016
589,14-BISat,Instituto Federal Fluminense,University,Brazil,2U,07-31-16,TBD,ISS,Space Science,South America,2016
590,Aalto-2,Aalto University,University,Finland,2U,07-31-16,TBD,ISS,Space Science,Europe,2016
591,Anusat-2,Anna University,University,India,2U,07-31-16,TBD,ISS,Space Science,Asia,2016
592,Aoxiang-1,Northwestern Polytechnical University,University,China,2U,07-31-16,TBD,ISS,Space Science,Asia,2016
