,Mission_Name,Organization,Organization_Type,Nation,Sat_Type,Launch_Year,Rocket,Orbit,Mission_Type,region,Year
78,ITUpSAT-1,Istanbul Technical University,University,Turkey,1U,09-23-09,PSLV,"730 km, 98.3 degree inclination",Space Technology,Asia,2009
79,SwissCube-1,Swiss Federal Institute of Technology (EPFL),University,Switzerland,1U,09-23-09,PSLV,"730 km, 98.3 degree inclination",Space Science,Europe,2009
80,UWE-2,University of Würzburg,University,Germany,1U,09-23-09,PSLV,"730 km, 98.3 degree inclination",Space Technology,Europe,2009
81,"KSat (Hayato, Kagoshima Satellite, K-Sat)",Kagoshima University,University,Japan,1U,05-20-10,H-IIA,"288 x 309 km, 30 degree inclination",Space Technology,Asia,2010
82,Negai (Negai-Star),Soka University,University,Japan,1U,05-20-10,H-IIA,"288 x 309 km, 30 degree inclination",Space Technology,Asia,2010
83,Waseda-Sat2,Waseda University,University,Japan,1U,05-20-10,H-IIA,"288 x 309 km, 30 degree inclination",Space Technology,Asia,2010
84,AISSat-1,University of Toronto Institute for Aerospace Studies Space Flight Lab,University,Norway,7 kg,07-12-10,PSLV,"630 km, SSO",Space Technology,Europe,2010
85,StudSat-1 (Student Satellite-1),Nitte Meenakshi Institute of Technology,University,India,1U,07-12-10,PSLV,"630 km, SSO",Space Technology,Asia,2010
86,TISAT-1,University of Applied Sciences of Southern Switzerland (SUPSI),University,Switzerland,1U,07-12-10,PSLV,"630 km, SSO",Space Technology,Europe,2010
87,ZDPS 1A 01 (Zheda Pixing),Zhejiang University,University,China,3.5 kg,09-22-10,Long March 2D,"645 km, SSO",Space Technology,Asia,2010
88,ZDPS 1A 02 (Zheda Pixing),Zhejiang University,University,China,3.5 kg,09-22-10,Long March 2D,"645 km, SSO",Space Technology,Asia,2010
89,NanoSail-D2,NASA Ames Research Center,Agency,US,3U,11-20-10,Minotaur IV,"650 km, 72 degree inclination",Space Technology,North America,2010
90,O/OREOS (Organism/ORganics Exposure to Orbital Stresses) Nanosatellite,NASA Ames Research Center,Agency,US,3U,11-20-10,Minotaur IV,"650 km, 72 degree inclination",Space Technology,North America,2010
91,RAX (Radio Aurora eXplorer),University of Michigan,University,US,3U,11-20-10,Minotaur IV,"650 km, 72 degree inclination",Space Science,North America,2010
92,Caerus-Mayflower,"Northrop Grumman,",Company,US,3U,12-08-10,Falcon 9,"273 x 300 km, 34.5 degree inclination",Space Technology,North America,2010
93,Perseus 000,Los Alamos National Laboratory,Institute,US,1.5U,12-08-10,Falcon 9,"273 x 300 km, 34.5 degree inclination",Space Technology,North America,2010
94,Perseus 001,Los Alamos National Laboratory,Institute,US,1.5U,12-08-10,Falcon 9,"273 x 300 km, 34.5 degree inclination",Space Technology,North America,2010
95,Perseus 002,Los Alamos National Laboratory,Institute,US,1.5U,12-08-10,Falcon 9,"273 x 300 km, 34.5 degree inclination",Space Technology,North America,2010
96,Perseus 003,Los Alamos National Laboratory,Institute,US,1.5U,12-08-10,Falcon 9,"273 x 300 km, 34.5 degree inclination",Space Technology,North America,2010
97,QbX-1,NRL Naval Center for Space for NRO,Military,US,3U,12-08-10,Falcon 9,"273 x 300 km, 34.5 degree inclination",Space Technology,North America,2010
98,QbX-2,NRL Naval Center for Space for NRO,Military,US,3U,12-08-10,Falcon 9,"273 x 300 km, 34.5 degree inclination",Space Technology,North America,2010
99,SMDC-ONE 1 (Space & Missile Defense Command-Operational Nanosatellite Effect),Space & Missile Defense Command,Military,US,3U,12-08-10,Falcon 9,"273 x 300 km, 34.5 degree inclination",Space Technology,North America,2010
100,"HBRE (Explorer-1 prime, Hiscock Radiation Belt Explorer)",Montana State University,University,US,1U,03-04-11,Taurus-XL,Launch failure,Space Technology,North America,2011
101,Hermes,University of Colorado in Boulder,University,US,1U,03-04-11,Taurus-XL,Launch failure,Space Technology,North America,2011
102,KySat-1,Kentucky universities,University,US,1U,03-04-11,Taurus-XL,Launch failure,Space Technology,North America,2011
103,"PSSC-2 (Pico Satellite Solar Cell Testbed-2, PSSC Testbed-2, PSSCT-2)",The Aerospace Corporation,Military,US,3.7 kg,07-20-11,Shuttle,"365 x 380 km, ISS",Space Technology,North America,2011
